token,kind,count
CT,ALPHA,3456
ICU,ALPHA,1042
PICC,ALPHA,503
CA,ALPHA,430
PET,ALPHA,377
CA125,ALNUM,310
DAY,ALPHA,267
PETCT,ALPHA,234
EMO,ALPHA,224
PD1,ALNUM,219
OK,ALPHA,170
PS,ALPHA,167
TA,ALPHA,149
AI,ALPHA,135
CEA,ALPHA,134
4A,ALNUM,119
PLOG,ALPHA,113
TM,ALPHA,106
MM,ALPHA,104
CR,ALPHA,101
HER2,ALNUM,99
3C,ALNUM,94
PD,ALPHA,82
MR,ALPHA,81
HE4,ALNUM,80
DOWN,ALPHA,78
HPV,ALPHA,78
CANCER,ALPHA,74
4B,ALNUM,72
CA199,ALNUM,70
5CM,ALNUM,69
MRI,ALPHA,66
TSH,ALPHA,66
PCR,ALPHA,65
YOU,ALPHA,65
1CM,ALNUM,59
TMD,ALPHA,57
PYQ,ALPHA,57
ING,ALPHA,56
TG,ALPHA,55
CART,ALPHA,53
THE,ALPHA,52
AND,ALPHA,52
FISH,ALPHA,50
BE,ALPHA,49
100ML,ALNUM,49
MD,ALPHA,47
HRD,ALPHA,47
R0,ALNUM,47
2CM,ALNUM,47
CAR,ALPHA,46
UP,ALPHA,44
APP,ALPHA,44
3CM,ALNUM,43
TO,ALPHA,43
FLAG,ALPHA,42
4C,ALNUM,42
LIFE,ALPHA,42
GET,ALPHA,42
5MM,ALNUM,41
TOMO,ALPHA,40
NO,ALPHA,39
SO,ALPHA,39
NICE,ALPHA,38
IV,ALPHA,38
PR,ALPHA,37
SI,ALPHA,37
OR,ALPHA,36
SAD,ALPHA,35
DY,ALPHA,35
IS,ALPHA,34
OFFER,ALPHA,34
DAY1,ALNUM,34
LOVE,ALPHA,34
MY,ALPHA,34
BB,ALPHA,34
7CM,ALNUM,33
ER,ALPHA,33
AML,ALPHA,32
P1,ALNUM,32
IN,ALPHA,31
GOOD,ALPHA,30
3A,ALNUM,30
PUA,ALPHA,30
500ML,ALNUM,30
RIP,ALPHA,30
BRCA,ALPHA,29
PPT,ALPHA,29
KB,ALPHA,29
BUT,ALPHA,29
CA153,ALNUM,28
P2,ALNUM,28
SB,ALPHA,28
1W,ALNUM,28
KI67,ALNUM,28
6CM,ALNUM,27
IT,ALPHA,27
TC,ALPHA,27
TONY,ALPHA,26
1C,ALNUM,26
MARK,ALPHA,25
4CM,ALNUM,25
IPAD,ALPHA,25
EMMM,ALPHA,25
ALK,ALPHA,25
IPHONE,ALPHA,25
LEO,ALPHA,25
2B,ALNUM,25
KTV,ALPHA,25
VIP,ALPHA,24
LIVE,ALPHA,24
8CM,ALNUM,24
8MM,ALNUM,23
3B,ALNUM,23
SKY,ALPHA,23
2W,ALNUM,23
PRAY,ALPHA,23
ME,ALPHA,23
24H,ALNUM,23
3MM,ALNUM,22
SCC,ALPHA,22
ECT,ALPHA,22
MFA,ALPHA,22
PDL1,ALNUM,22
CALL,ALPHA,22
NSE,ALPHA,22
HHH,ALPHA,21
6MM,ALNUM,21
M5,ALNUM,21
HI,ALPHA,21
10W,ALNUM,21
